Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(404, 994),2025-03-26 02:30:43
Mouse,(Move),Moved,(397, 999),2025-03-26 02:30:43
Mouse,(Move),Moved,(390, 1004),2025-03-26 02:30:43
Mouse,(Move),Moved,(382, 1010),2025-03-26 02:30:44
Mouse,(Move),Moved,(375, 1015),2025-03-26 02:30:44
Mouse,(Move),Moved,(368, 1023),2025-03-26 02:30:44
Mouse,(Move),Moved,(359, 1032),2025-03-26 02:30:44
Mouse,(Move),Moved,(347, 1041),2025-03-26 02:30:44
Mouse,(Move),Moved,(339, 1049),2025-03-26 02:30:44
Mouse,(Move),Moved,(335, 1051),2025-03-26 02:30:44
Mouse,(Move),Moved,(332, 1054),2025-03-26 02:30:44
Mouse,(Move),Moved,(328, 1056),2025-03-26 02:30:44
Mouse,(Move),Moved,(326, 1058),2025-03-26 02:30:44
Mouse,(Move),Moved,(323, 1060),2025-03-26 02:30:44
Mouse,(Move),Moved,(319, 1063),2025-03-26 02:30:44
Mouse,(Move),Moved,(314, 1067),2025-03-26 02:30:44
Mouse,(Move),Moved,(310, 1072),2025-03-26 02:30:44
Mouse,(Move),Moved,(305, 1075),2025-03-26 02:30:44
Mouse,(Move),Moved,(303, 1077),2025-03-26 02:30:44
Mouse,(Move),Moved,(300, 1079),2025-03-26 02:30:44
Mouse,(Move),Moved,(300, 1082),2025-03-26 02:30:44
Mouse,(Move),Moved,(298, 1082),2025-03-26 02:30:44
Mouse,(Move),Moved,(296, 1085),2025-03-26 02:30:44
Mouse,(Move),Moved,(295, 1086),2025-03-26 02:30:44
Mouse,(Move),Moved,(292, 1089),2025-03-26 02:30:44
Mouse,(Move),Moved,(292, 1090),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1090),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1091),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1093),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1095),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1096),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1098),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1100),2025-03-26 02:30:44
Mouse,(Move),Moved,(291, 1101),2025-03-26 02:30:44
Mouse,(Move),Moved,(293, 1106),2025-03-26 02:30:44
Mouse,(Move),Moved,(295, 1110),2025-03-26 02:30:44
Mouse,(Move),Moved,(296, 1115),2025-03-26 02:30:44
Mouse,(Move),Moved,(297, 1119),2025-03-26 02:30:44
